GEOID,margin,change_2008,change_2012,margin_2008,margin_2012,flips
01035,-0.051632498101746416,0.022417683803498012,-0.06814495361776063,-0.005905228287483799,0.016512455516014213,RDR
01037,-0.30445544554455445,0.012826674429683382,-0.142016975268144,-0.17526514470609383,-0.16243847027641045,RRR
01039,-0.6825595984943539,3.958840742164238e-4,-0.09994414412554764,-0.5830113384430227,-0.5826154543688062,RRR
01041,-0.45460347853837557,0.023402469835240747,-0.0995287587376284,-0.3784771896359879,-0.3550747198007472,RRR
01043,-0.7707601721543051,-0.04063895641534254,-0.07774903049607917,-0.6523721852428834,-0.693011141658226,RRR
01045,-0.5010933916475546,0.025447706845387774,-0.0805783655736877,-0.4459627329192547,-0.4205150260738669,RRR
01047,0.37500000000000006,0.052346494221200635,-0.0220616294600266,0.344715135238826,0.39706162946002665,DDD
01049,-0.6885696584836987,-0.034500583968700815,-0.14193082758599507,-0.5121382469290028,-0.5466388308977036,RRR
01051,-0.5150563607085346,0.022616488989371575,-0.028391194445101242,-0.5092816552528049,-0.4866651662634333,RRR
01053,-0.3590434489727181,0.030332591190640745,-0.10404143473879846,-0.2853346054245604,-0.25500201423391966,RRR
01055,-0.4961280681097726,-8.578702775132174e-4,-0.11308095850016298,-0.3821892393320964,-0.38304710960960964,RRR
01057,-0.648563462237847,-0.043668163854960196,-0.11614325615591681,-0.48875204222697,-0.5324202060819302,RRR
01059,-0.6037375415282392,-0.012405171601602982,-0.1997305568760932,-0.39160181305054304,-0.404006984652146,RRR
01061,-0.7202755570675284,-0.005001905319379163,-0.09049883833131811,-0.6247748134168312,-0.6297767187362103,RRR
01063,0.6506147540983607,0.02988959278508463,-0.04506183208917447,0.6657869934024505,0.6956765861875351,DDD
01065,0.19925373134328356,0.03759247011867051,-0.055285415181522746,0.2169466764061358,0.2545391465248063,DDD
01067,-0.4137760158572844,0.0065053768206696505,-0.12344975530515112,-0.29683163737280294,-0.2903262605521333,RRR
01069,-0.4705551255892492,0.005421081415807327,-0.06794937101607851,-0.40802683598897804,-0.4026057545731707,RRR
01071,-0.6194719786504004,-0.04834108604803733,-0.20181978787878346,-0.3693111047235796,-0.4176521907716169,RRR
01073,0.07266815915000768,0.008883024000173878,0.012925545291612772,0.05085958985822103,0.05974261385839491,DDD
01075,-0.6871949468848694,0.006733379029430608,-0.15611913863514804,-0.537809187279152,-0.5310758082497213,RRR
01077,-0.454067046173308,-0.02600793829732828,-0.1462251796794649,-0.2818339281965148,-0.3078418664938431,RRR
01079,-0.48593971272506575,0.011234504987754967,-0.21699710599619948,-0.28017711171662124,-0.2689426067288663,RRR
01081,-0.22616614012265374,-8.664607866953333e-4,-0.027747907591825827,-0.19755177174413258,-0.1984182325308279,RRR
01083,-0.48639996029185484,-0.01604851160414339,-0.05122832270040856,-0.4191231259873029,-0.4351716375914463,RRR
01085,0.46858168761220825,0.030369046511464104,-0.06192475928397684,0.500137400384721,0.5305064468961851,DDD
01087,0.6712253829321663,0.001554635744195343,-0.07079077712939597,0.7404615243173669,0.7420161600615622,DDD
01089,-0.1634014529741904,-0.03630675636119507,0.022337281359391725,-0.14943197797238705,-0.18573873433358212,RRR
01091,0.034746225213752924,0.036249376584820026,-0.037245458057493686,0.035742306686426584,0.07199168327124661,DDD
01093,-0.7580098582871226,-0.052673314012501304,-0.1439443953470616,-0.5613921489275597,-0.614065462940061,RRR
01095,-0.6885264469362329,-0.035937579791097796,-0.08909010335088796,-0.5634987637942471,-0.5994363435853449,RRR
01097,-0.1327451559306923,-0.004651258394340385,-0.040630276405740795,-0.08746362113061112,-0.09211487952495151,RRR
01099,-0.14243987927173596,0.025036934949343614,-0.06527276160821077,-0.1022040526128688,-0.07716711766352519,RRR
01101,0.25984063080164377,0.050284753608087984,0.017323460707489913,0.19223241648606587,0.24251717009415386,DDD
01103,-0.5179685648842903,-0.006206349008247347,-0.0741261903922869,-0.4376360254837561,-0.4438423744920034,RRR
01105,0.4579386131110269,0.05083768896573215,-0.04394632378456398,0.45104724792985873,0.5018849368955909,DDD
01107,-0.15552295116327808,0.013905554332588388,-0.08598755983181561,-0.08344094566405086,-0.06953539133146247,RRR
01109,-0.20025820170109349,0.015760265424619613,-0.06374329693581698,-0.15227517018989611,-0.1365149047652765,RRR
01111,-0.5314616668302738,-0.0019529595256940757,-0.1336111726358587,-0.3958975346687211,-0.39785049419441515,RRR
01113,0.01916285832987119,0.04454599629028694,-0.09834110782560213,0.07295796986518638,0.11750396615547332,DDD
01115,-0.6786979166666667,-0.0268656734560625,-0.019410276536114712,-0.6324219666744895,-0.659287640130552,RRR
01117,-0.4942323266241333,-0.01971492275126363,0.05983163576615369,-0.5343490396390234,-0.554063962390287,RRR
01119,0.4936827328029949,0.042242850137586996,-0.05183647061094532,0.5032763532763532,0.5455192034139402,DDD
