GEOID,year,force,employed,unemployed,rate
08109,2010,3066,2755,311,10.1
08111,2010,505,442,63,12.5
08113,2010,4892,4508,384,7.8
08115,2010,1101,1019,82,7.4
08117,2010,19126,17837,1289,6.7
08119,2010,12354,11198,1156,9.4
08121,2010,2590,2437,153,5.9
08123,2010,131910,119796,12114,9.2
08125,2010,4928,4651,277,5.6
09001,2010,473386,433561,39825,8.4
09003,2010,479963,434736,45227,9.4
09005,2010,108434,98974,9460,8.7
09007,2010,93292,85940,7352,7.9
09009,2010,461566,415404,46162,10
09011,2010,143924,131073,12851,8.9
09013,2010,86492,79750,6742,7.8
09015,2010,64653,58010,6643,10.3
10001,2010,72711,66250,6461,8.9
10003,2010,271575,249148,22427,8.3
10005,2010,90133,82471,7662,8.5
11001,2010,346065,313508,32557,9.4
12001,2010,128370,118072,10298,8
12003,2010,11552,10246,1306,11.3
12005,2010,86072,77054,9018,10.5
12007,2010,11587,10444,1143,9.9
12009,2010,265643,235757,29886,11.3
12011,2010,936563,841473,95090,10.2
12013,2010,5314,4777,537,10.1
12015,2010,66293,57846,8447,12.7
12017,2010,52847,45594,7253,13.7
12019,2010,95867,86356,9511,9.9
12021,2010,145349,128427,16922,11.6
12023,2010,28788,25669,3119,10.8
12027,2010,13081,11481,1600,12.2
12029,2010,5749,5008,741,12.9
12031,2010,454798,403171,51627,11.4
12033,2010,139913,125755,14158,10.1
12035,2010,41338,36208,5130,12.4
12037,2010,4936,4543,393,8
12039,2010,20080,17714,2366,11.8
12041,2010,6874,6132,742,10.8
12043,2010,5544,5017,527,9.5
12045,2010,6232,5591,641,10.3
12047,2010,4808,4258,550,11.4
12049,2010,11764,10410,1354,11.5
12051,2010,18361,15786,2575,14
12053,2010,66470,57464,9006,13.5
12055,2010,37247,32587,4660,12.5
12057,2010,645687,576400,69287,10.7
12059,2010,7190,6445,745,10.4
12061,2010,61384,52848,8536,13.9
12063,2010,18938,17214,1724,9.1
12065,2010,6042,5443,599,9.9
12067,2010,3404,3156,248,7.3
12069,2010,134021,118246,15775,11.8
12071,2010,283236,247790,35446,12.5
12073,2010,149972,138074,11898,7.9
12075,2010,17327,15262,2065,11.9
12077,2010,2933,2676,257,8.8
12079,2010,7946,7148,798,10
12081,2010,147572,130750,16822,11.4
12083,2010,132351,114297,18054,13.6
12085,2010,66636,59472,7164,10.8
12086,2010,1225397,1089226,136171,11.1
12087,2010,42182,38904,3278,7.8
12089,2010,35799,31995,3804,10.6
12091,2010,89046,81547,7499,8.4
12093,2010,18103,15816,2287,12.6
12095,2010,635299,566478,68821,10.8
12097,2010,137372,120253,17119,12.5
12099,2010,645737,574890,70847,11
12101,2010,207364,182593,24771,11.9
12103,2010,465178,414856,50322,10.8
12105,2010,278479,244668,33811,12.1
12107,2010,30518,26434,4084,13.4
12109,2010,99104,90440,8664,8.7
12111,2010,128690,110976,17714,13.8
12113,2010,71333,64713,6620,9.3
12115,2010,167222,147825,19397,11.6
12117,2010,230697,206168,24529,10.6
12119,2010,25310,21955,3355,13.3
12121,2010,19153,17267,1886,9.8
12123,2010,9473,8471,1002,10.6
12125,2010,5479,5013,466,8.5
12127,2010,238183,208987,29196,12.3
12129,2010,14589,13368,1221,8.4
12131,2010,25984,23547,2437,9.4
12133,2010,10298,9210,1088,10.6
13001,2010,8746,7710,1036,11.8
13003,2010,3451,2925,526,15.2
13005,2010,4542,4059,483,10.6
13007,2010,1232,1083,149,12.1
13009,2010,19192,16243,2949,15.4
13011,2010,8457,7640,817,9.7
13013,2010,34670,30939,3731,10.8
13015,2010,47837,42007,5830,12.2
13017,2010,6516,5481,1035,15.9
13019,2010,7990,6951,1039,13
13021,2010,70225,62053,8172,11.6
13023,2010,5474,4792,682,12.5
13025,2010,7468,6516,952,12.7
13027,2010,7309,6605,704,9.6
13029,2010,14455,13070,1385,9.6
13031,2010,33132,29802,3330,10.1
13033,2010,9791,8601,1190,12.2
13035,2010,10491,9288,1203,11.5
13037,2010,2620,2390,230,8.8
13039,2010,20695,18643,2052,9.9
13043,2010,4917,4482,435,8.8
13045,2010,51817,45762,6055,11.7
13047,2010,31351,28665,2686,8.6
13049,2010,4797,4288,509,10.6
13051,2010,127323,114777,12546,9.9
13053,2010,2218,1976,242,10.9
