countycode,GEOID,foreclosure_rate,predatory_loans
05087,05087,4.329004329004329,37.36040609137056
05089,05089,4.798676227247656,38.68797308662742
05091,05091,3.3677441191402946,30.59855521155831
05093,05093,7.35202492211838,51.488283723875874
05095,05095,5.906313645621181,47.20496894409938
05097,05097,3.4090909090909087,29.004329004329005
05099,05099,6.378132118451026,50
05101,05101,7.834394904458598,65.0485436893204
05103,05103,5.8990089664936285,45.46762589928058
05105,05105,3.1368821292775664,26.08695652173913
05107,05107,7.168458781362006,53.551912568306015
05109,05109,6.200676437429538,49.140893470790374
05111,05111,6.793206793206793,54.111675126903556
05113,05113,3.125,26.600284495021338
05115,05115,3.2356451399018695,27.375657096643753
05117,05117,4.923599320882852,40.41450777202073
05119,05119,2.626236086561888,23.44136926438456
05121,05121,4.602510460251046,31.89792663476874
