GEOID,dod_rate,total_pills,annual_pills,change_pills
05059,3.581222985390227e-4,7726490,33.9,12.94468458086584
05063,2.9330204778157e-4,15516810,62,10.75153394146042
05069,1.4981361075488864e-4,13759970,25,15.426104753469106
05083,4.6036276585949726e-4,7450820,47.1,12.158559703916467
05085,2.3996838824956766e-4,15948790,34.8,14.10690142601427
05089,7.304601899196494e-4,4896250,41.7,11.37197527036925
05091,3.41033102946526e-4,15493390,51.4,14.891490275982903
05111,4.1243916522312957e-4,10129280,58.5,7.193198876431128
05115,1.8377894452755104e-4,16674430,39.6,9.385653043975443
05119,1.654796591847819e-4,112301502,42.6,10.721472734255958
05125,1.5839397309372973e-4,29152486,41.1,7.955299547788
05131,1.676998971508937e-4,63860180,73.9,9.48906596470086
05139,2.507082508085341e-4,14800210,50,7.214708477425436
05143,1.5889068774574582e-4,50165870,36.4,11.770491231919337
05145,1.8259902624049885e-4,20223975,38.7,12.618544071294258
06001,9.381089385412242e-5,617525202.1,59.8,6.29804885204146
06005,3.787019172272264e-4,18109460,67.6,7.346995760461964
06007,1.870631290450214e-4,126438275,82.7,7.096488955594608
06009,3.658115160710908e-4,19295240,59.8,6.414752687853446
06013,1.012866373942024e-4,228369490.8,31.9,6.020482882512545
06015,3.6748493311774215e-4,16023200,80.4,6.702263887437439
06017,1.7406579387474973e-4,54584479,43.7,5.5593638567938894
06019,1.0564082499390678e-4,217225360,34.3,6.660839674624157
06021,3.5692615197915553e-4,10821620,55.4,4.991034472637666
06023,2.522241307267399e-4,70659960,76.2,4.918482004764184
06025,8.437461766967902e-5,23887210,20.5,7.982976341766072
06029,1.352618834839924e-4,195518029.1,34.5,7.914979664450062
06031,1.0906846987243674e-4,34634654,32.9,10.418490215747825
06033,2.9580487488130725e-4,43826960,97.3,6.818375685716486
06035,3.4200789727326434e-4,18872710,77.2,5.383845995910161
06037,8.213570753356057e-5,1499252965.1,21.9,2.81667153476254
06039,1.176389754142224e-4,29706215,28.8,6.859812280055751
06041,1.566921609541366e-4,54100786,31.1,1.7678367943217161
06045,2.509644478169465e-4,38751915,63.5,3.5461940505069327
06047,9.774709198346564e-5,57212665,32.7,10.085434394814863
06053,9.228083765802102e-5,82787822.8,29,5.490406824021088
06055,1.1309515471858881e-4,30932475,33,5.347620277557263
06057,2.1216867255085972e-4,36319221,53,5.089959402428712
06059,1.0202315055541283e-4,508082537.7,24.5,4.622790796247785
06061,1.3017990419496512e-4,126006698.6,53.6,5.474062322418427
06065,1.0809824481474872e-4,453963052.5,30.9,8.351550956989099
06067,1.373343226408702e-4,443063171,45.5,3.6939779559023482
06069,1.65809981760902e-4,8448960,22.1,11.065625444381434
06071,1.001775960009993e-4,434178116.5,31,7.054231584904203
06073,1.2809572023736804e-4,608164349.5,28.8,4.948750730886094
06075,1.0553800252074055e-4,127684111,23.1,3.4641210242609892
06077,1.0567240796813013e-4,188056095,39.9,7.308879795989354
06079,1.8730289992966177e-4,76906838.58,41.5,6.4560105494766615
06081,7.82826539457239e-5,109509962.4,22.2,5.159166408567747
06083,1.2582891891871112e-4,99272802.5,34.3,3.7008840401462573
06085,7.871615270554997e-5,202878545,16.7,4.888864983172181
06087,1.6249771308586087e-4,64935255,36.2,5.56503530121659
06089,2.4719604032051096e-4,117341864,94.5,6.340506929952058
06093,2.9216353387126297e-4,20364645,65.2,9.207823418684669
06095,1.2088138977892785e-4,104266026.5,36.4,8.616119203721077
06097,1.384798006185619e-4,129436246,39.2,4.69418952746861
06099,1.0392205603291806e-4,218028368,61.2,5.8084817630729555
06101,1.6842297112916514e-4,45200015,69.4,10.31826476004749
06103,2.1321880704186814e-4,29383980,67.4,8.299036083112517
06107,1.0489765884510115e-4,113901310,38.1,8.128633163250887
06109,2.458376631884013e-4,33145990,84.5,5.912185077844468
06111,1.1820141860614758e-4,158443699,28.1,5.5675693446263335
06113,1.042073798454559e-4,41901749,30.6,5.545623046719393
06115,1.7346220253339662e-4,29566330,59.4,8.00140934095707
08001,1.76037259957029e-4,76848617,25.9,8.286216529874396
08005,1.807655026663621e-4,99985887,25.9,6.143730663233789
08013,1.7758841206772465e-4,52120758,25.6,4.961048346129886
08014,1.9552788792349105e-4,15158662,41,18.55884397991525
08029,4.1035181420920693e-4,9814770,46.1,5.730789232544895
08031,1.5961132209740025e-4,76643537.25,18.9,8.588343709603514
08035,1.715296390328163e-4,39057795,20.5,6.175595686935746
08037,2.3734754984298546e-4,9241333,26.1,6.983408430868136
08041,2.484258112528847e-4,125820253,30.1,7.677689834937089
08043,3.366753617198551e-4,13815920,41.9,8.443880375217093
08045,2.3687263362886905e-4,13264387,34.9,3.937095413529188
08051,6.094588005850804e-4,2093825,19.8,7.851951771435243
08059,1.8522661903094448e-4,142323953,38.4,6.303898894441521
08067,2.4839831195885875e-4,9022148,25.8,3.404186229845733
08069,2.157795752222893e-4,63868173,31.4,6.637728556437812
08077,2.649565684584461e-4,37409624,37.8,5.993814518966445
08083,4.6830685900601783e-4,7067300,40.1,7.311374690169007
08085,2.5219551057717644e-4,9390400,33.5,10.27860053933443
08093,6.408015845275545e-4,831620,7.3,5.082736898672561
08101,2.5757690413676077e-4,74629205,68.4,12.131268652890933
08117,3.490523229432092e-4,5005730,26.6,3.0568687189751014
08119,4.917280045709332e-4,7309215,46.2,17.265462295045143
08123,1.8540597999135294e-4,50147379,29.5,8.86872601933882
09001,8.355766262156946e-5,133131898.99369,21,5.792161131500951
09003,9.889793700570404e-5,158992384.729576,25.6,5.063864908703271
09005,1.302377466143819e-4,41307518,31.1,4.492371155814978
09007,9.744846013956376e-5,33659815.04666,29.2,4.727584290920395
09009,1.1233260137438254e-4,202469412.5055,33.9,4.511451899678298
09011,1.36906326479063e-4,58983326.5999999,31.1,7.234503561854775
09013,1.4208024739874087e-4,20537584,19.5,6.306708038036428
09015,1.5587721652251139e-4,26269190,31.9,5.181597061090454
10001,1.3643276454095103e-4,44551410,40.8,6.767315839411623
10003,1.2142603339162581e-4,148753416,39.9,4.916572310312231
10005,1.3519653334600622e-4,82872450,62.3,6.866321666430419
11001,6.294591351134029e-5,58184205,14.2,5.376801020925298
12001,1.2777584061953975e-4,63608141,37.3,3.1325434311284797
12005,2.2893517348225738e-4,65366330,56.2,2.873204178596694
12009,2.30813421699732e-4,183931799,48.7,5.481661897279353
12011,1.1808706527792201e-4,568086688,46.6,0.8564865916700072
12015,1.9136335520149206e-4,58089640,52.2,4.211106001252044
12017,2.4276727137308136e-4,51986048,53,5.3626643402789425
12019,1.712942688743749e-4,69764455,53.8,6.018053951677714
12021,1.296218895565078e-4,70016794,31.6,2.4570672274670575
12023,1.7937008447515852e-4,27485440,58.6,6.021615547258054
12031,1.553429039963993e-4,301962665.8,50.5,7.027686511126041
12033,1.9385530417545847e-4,108324348,51.8,5.297348272639898
12035,2.1544857472778603e-4,25590065,40.2,7.891920231099383
