GEOID,year,gini,earn,home,rent,pct_white,pct_black,household_size,median_age,education,pct_foreign,pct_foreign_lat,pct_moved_dom,pct_moved_int,unemployment,population,density
31077,2015,0.4317,NA,59600,500,98.34410339256866,0.6865912762520193,2.4884422110552764,46,7.47172859450727,0.7269789983844911,0.08077544426494346,5.4523424878836835,0,2.224469160768453,2476,1.67330529750234
31077,2016,0.4003,27545,65600,502,97.79321618308133,0.5312627707396812,2.3873170731707316,45.8,8.05067429505517,0.9807928075194116,0.4086636697997548,5.435226808336739,0.1634654679199019,1.83752417794971,2447,1.65370681057683
40109,2012,0.488,25127,124100,731,68.22814968492057,15.037138324309932,2.546502429653068,34.3,12.335248957131446,10.25505902192243,0.0045764178574598385,13.318624079169256,0.6755070116268749,6.30439705276115,721088,387.983057412396
40109,2013,0.4884,25248,126500,748,68.46068529936431,14.921774905138244,2.565954016542829,34.2,12.523527628059957,10.406109397665404,0.061055731453126406,13.023720219964542,0.6412900652627036,6.601323446049907,732118,393.917774289197
40109,2014,0.4887,25835,129800,768,68.63371212885777,14.97029516446992,2.5803825026562683,34.2,12.764534512107328,10.743663753372491,0.06970375902414737,12.758344603004797,0.6790061158993198,6.444305062707461,743145,399.850877009096
40109,2015,0.4892,26179,133400,780,68.89592832149295,14.793765242286078,2.589244654929819,34.2,12.787747852825786,10.833421694412046,6.954193616795674,12.35765030219489,0.6969038278019298,5.881718415569521,754480,405.949699837612
40109,2016,0.4862,26917,137500,794,68.85685590913015,14.953484905152099,2.595081989466254,34.3,12.892017502334255,10.666171482075276,6.802947045761856,12.379004522046612,0.6431297061062013,5.499205154537653,764698,411.447518246239
50017,2012,0.3995,27192,184900,800,97.01863354037266,0.2691511387163561,2.4509472259810554,43.5,10.866114561766736,1.590752242926156,0,3.2643202208419595,0.13457556935817805,6.267409470752089,28980,16.1751940606779
50017,2013,0.4077,27366,183900,825,96.99302630670441,0.37975557550231304,2.421501421167029,44,12.000276185873092,1.5639025063867984,0,3.4523234136573913,0.1208313194780087,6.326901095945674,28966,16.1673799572669
50017,2014,0.4058,27435,186400,839,96.77463961005289,0.4182943270992498,2.3837659662134323,44.4,13.081204411103814,2.0327030110277597,0.017284889549555777,3.5226604901994674,0.24544543160369206,5.758209156496528,28927,16.145612097765
50017,2015,0.3983,27183,189400,836,96.55017456531509,0.5254243147015106,2.381379650971353,45,13.018078744512426,1.7975042345051677,0.17975042345051678,3.8024128037609324,0.21777455148812608,4.492375326281082,28929,16.1467283982522
